url;compromissionType;isHiddenFraudulent;contentLength;serverType;poweredBy;contentType;lastModified
http://www.sinduscongoias.com.br/index.html;defacement;FALSE;2474;Apache/2.2;;text/html;Sat, 05 Jan 2013 19:36:29 GMT
http://hridaydutta123.github.io;defacement;FALSE;2474;Apache/2.2;;text/html;Sat, 05 Jan 2013 19:36:29 GMT
http://www.sinduscongoias.com.br/index.php/institucional.1;defacement;FALSE;0;Apache/2.2;;"text/html; charset=utf-8";Mon, 21 Jan 2013 19:30:53 GMT
http://www.sinduscongoias.com.br/index.php/institucional/historico;defacement;FALSE;0;Apache/2.2;;"text/html; charset=utf-8";Mon, 21 Jan 2013 19:30:58 GMT
http://www.sinduscongoias.com.br/index.php/institucional/estatuto;defacement;FALSE;0;Apache/2.2;;"text/html; charset=utf-8";Mon, 21 Jan 2013 19:31:01 GMT
http://www.sinduscongoias.com.br/index.php/institucional/missao-visao-valores-negocio-e-politica-da-qualidade;defacement;FALSE;0;Apache/2.2;;"text/html; charset=utf-8";Mon, 21 Jan 2013 19:31:05 GMT
http://www.sinduscongoias.com.br/index.php/institucional/planejamento-estrategico;defacement;FALSE;0;Apache/2.2;;"text/html; charset=utf-8";Mon, 21 Jan 2013 19:31:07 GMT
http://www.sinduscongoias.com.br/index.php/institucional/politica-de-desenvolvimento-humano;defacement;FALSE;0;Apache/2.2;;"text/html; charset=utf-8";Mon, 21 Jan 2013 19:31:08 GMT
http://www.sinduscongoias.com.br/index.php/institucional/filiacoesparcerias;defacement;FALSE;0;Apache/2.2;;"text/html; charset=utf-8";Mon, 21 Jan 2013 19:31:09 GMT
http://www.sinduscongoias.com.br/index.php/institucional/certificacao-iso-90012008;defacement;FALSE;0;Apache/2.2;;"text/html; charset=utf-8";Mon, 21 Jan 2013 19:31:10 GMT
http://www.sinduscongoias.com.br/index.php/institucional/empresas-associadas;defacement;FALSE;0;Apache/2.2;;"text/html; charset=utf-8";Mon, 21 Jan 2013 19:31:11 GMT
http://www.sinduscongoias.com.br/index.php/diretoria.1;defacement;FALSE;0;Apache/2.2;;"text/html; charset=utf-8";Mon, 21 Jan 2013 19:31:12 GMT